ExtractionType,EventDescription,Start,End,Duration(s),Text_length,Aligned,EventType
Manually Extracted Event,"Whip meets Charlie and attorney Hugh Lang,",0:52:16,0:52:26,10,42,Fail,process
Manually Extracted Event,who explain that the National Transportation Safety Board (NTSB) performed a drug test while he was unconscious.,0:54:15,0:54:36,21,112,Fail,process
Manually Extracted Event,"Results showed that Whip was intoxicated during the flight,",0:54:58,0:56:00,62,59,Fail,stative_event
Manually Extracted Event,although Hugh gets the toxicology report voided on technical grounds.,1:34:32,1:34:42,10,69,Fail,stative_event
Manually Extracted Event,Whip visits,0:58:15,1:00:50,155,11,Fail,process
Manually Extracted Event,"and becomes intimate with Nicole,",1:01:37,1:03:37,120,33,Success,change_of_state
Manually Extracted Event,but his drinking habits clash with Nicole's attempts to stay drug-free.,1:27:50,1:31:00,190,71,Success,process
Manually Extracted Event,"Later, he attends a funeral for Katerina,",1:15:31,1:15:40,9,41,Success,process
Manually Extracted Event,"a flight attendant who died in the crash,",0:30:50,0:30:55,5,41,Fail,change_of_state
Manually Extracted Event,and with whom Whip had spent the night before the incident.,0:00:32,0:01:00,28,59,Fail,process
Manually Extracted Event,"He sees a surviving crew member, Margaret,",1:15:56,1:16:59,63,42,Success,process
Manually Extracted Event,and asks her to tell the NTSB that he was sober.,1:17:00,1:19:17,137,48,Success,process
Manually Extracted Event,Whip pays a visit to his co-pilot Ken Evans Whip,1:22:50,1:26:53,243,48,Success,process
Manually Extracted Event,after he awakens from his coma.,0:00:00,0:00:00,0,31,Fail,change_of_state
Manually Extracted Event,Evans has likely lost much of his ability to walk,1:24:03,1:24:11,8,49,Fail,change_of_state
Manually Extracted Event,and may never pilot an airplane again.,1:24:12,1:24:14,2,38,Fail,non_event
Manually Extracted Event,"Although upset, Evans has no intention of telling the NTSB that Whip was drinking.",1:25:07,1:25:58,51,82,Fail,non_event
Manually Extracted Event,Nicole decides to separate from Whip after he fails to stay sober,1:29:36,1:32:37,181,65,Success,process
Manually Extracted Event,"and he spontaneously drives to the home of his ex-wife and son,",1:37:30,1:38:40,70,63,Success,process
Manually Extracted Event,both of whom resent him.,1:38:42,1:39:55,73,24,Fail,stative_event
Manually Extracted Event,"Hounded by the media,",1:39:58,1:40:12,14,21,Fail,process
Manually Extracted Event,"he stays with Charlie until the NTSB hearing,",1:40:30,1:41:48,78,45,Fail,process
Manually Extracted Event,vowing not to drink.,1:41:49,1:41:56,7,20,Fail,process
Manually Extracted Event,"The night before the hearing, Charlie and Hugh move Whip to a guarded hotel room with no alcohol.",1:42:06,1:44:03,117,97,Success,process
Manually Extracted Event,He finds the door to an adjacent room unlocked,1:46:03,1:46:37,34,46,Success,process
Manually Extracted Event,and raids the minibar there.,1:47:03,1:48:53,110,28,Success,process
Manually Extracted Event,"The next morning, Charlie discovers Whip passed out drunk.",1:48:54,1:50:07,73,58,Success,process
Manually Extracted Event,"Whip and Charlie call Harling to provide Whip with cocaine, hoping to get him alert enough to make it through the hearing.",1:50:27,1:54:14,227,122,Success,process
Manually Extracted Event,"At the hearing, lead NTSB investigator Ellen Block explains that a damaged elevator assembly jackscrew was the primary cause of the crash.",1:59:01,1:59:49,48,138,Fail,process
Manually Extracted Event,"She commends Whip on his valor and skill,",1:55:47,1:58:12,145,41,Fail,process
Manually Extracted Event,noting that no other pilot was able to land the plane in simulations of the crash.,1:35:55,1:36:13,18,82,Fail,process
Manually Extracted Event,"She then reveals that two empty vodka bottles were found in the plane's trash, despite beverages not being served to passengers,",2:01:13,2:01:31,18,128,Fail,process
Manually Extracted Event,and that Whip's blood test was excluded for technical reasons.,2:01:35,2:02:19,44,62,Fail,process
Manually Extracted Event,She then states the only other member of the crew to test positive for alcohol was Katerina.,2:03:51,2:03:57,6,92,Fail,process
Manually Extracted Event,"Whip pauses, unable to bring himself to blame Katerina for his actions.",2:03:16,2:04:15,59,71,Success,change_of_state
Manually Extracted Event,He collects himself,2:04:18,2:04:23,5,19,Fail,process
Manually Extracted Event,"and comes clean, admitting to being intoxicated the day of the crash.",2:04:25,2:05:25,60,69,Fail,process
Manually Extracted Event,"A tearful Whip also admits that he is presently drunk and has a problem, coming to terms with his alcoholism.",2:05:30,2:05:53,23,109,Fail,process
Manually Extracted Event,"Thirteen months later, an imprisoned Whip is lecturing a support group of fellow inmates telling them he is glad to be sober and doesn't regret doing the right thing.",2:06:20,2:09:21,181,166,Success,process
Manually Extracted Event,"He is also working to rebuild his relationship with his son,",2:10:20,2:11:28,68,60,Success,process
Manually Extracted Event,who visits to interview Whip for a college application essay titled "The most fascinating person that I've never met".,2:10:52,2:11:20,28,118,Fail,process
Manually Extracted Event,"He begins by asking, ""Who are you?""",2:11:30,2:11:40,10,35,Fail,process
Manually Extracted Event,"As a plane flies overhead, Whip replies, ""That's a good question.""",2:11:43,2:11:53,10,66,Fail,process
Machine Learning Extracted Event,The woman climbs on the bed.,0:02:58,0:03:03,5,28,Fail,
Machine Learning Extracted Event,She straddles the man.,0:03:02,0:03:08,6,22,Fail,
Machine Learning Extracted Event,She puts the joint to his lips.,0:03:14,0:03:19,5,31,Fail,
Machine Learning Extracted Event,She gets off the bed.,0:03:25,0:03:31,6,21,Fail,
Machine Learning Extracted Event,He smokes his cigarette.,0:03:32,0:03:37,5,24,Success,
Machine Learning Extracted Event,He sits up and snorts a line of cocaine.,0:03:39,0:03:45,6,40,Success,
Machine Learning Extracted Event,"The man walks out of the room, dressed in a black suit and sporting dark glasses under a pilot's cap.",0:03:50,0:03:59,9,101,Fail,
Machine Learning Extracted Event,An airplane pin is on his lapel.,0:03:56,0:04:02,6,32,Fail,
Machine Learning Extracted Event,"People run across the tarmac, as rain lashes the airport.",0:04:03,0:04:10,7,57,Fail,
Machine Learning Extracted Event,Lightning flashes in the distance.,0:04:06,0:04:12,6,34,Fail,
Machine Learning Extracted Event,"The man, now in a raincoat, walks under a parked South Jet airplane.",0:04:14,0:04:20,6,68,Fail,
Machine Learning Extracted Event,"He pauses near one of the wheels, opens his mouth, and sprays some mouth freshener.",0:04:18,0:04:23,5,83,Fail,
Machine Learning Extracted Event,"He trots to the mobile stairway leading to the passenger walkway, and slips on the first step.",0:04:25,0:04:34,9,94,Fail,
Machine Learning Extracted Event,He joins the passengers through a side door.,0:04:31,0:04:37,6,44,Fail,
Machine Learning Extracted Event,Whitaker sits next to his copilot.,0:05:13,0:05:19,6,34,Fail,
Machine Learning Extracted Event,SOMEONE inhales the oxygen.,0:05:38,0:05:44,6,27,Fail,
Machine Learning Extracted Event,SOMEONE fidgets on his side of the cockpit.,0:05:57,0:06:03,6,43,Fail,
Machine Learning Extracted Event,SOMEONE watches as SOMEONE brushes his hair.,0:06:07,0:06:14,7,44,Fail,
Machine Learning Extracted Event,"A woman steps out of a room at Hotel Atlanta, carrying a folded up massage table.",0:06:33,0:06:41,8,81,Fail,
Machine Learning Extracted Event,"She wears a dress, and has a small tattoo on her shoulder.",0:06:38,0:06:45,7,58,Fail,
Machine Learning Extracted Event,She pulls some bills from a bundle of cash.,0:06:42,0:06:48,6,43,Fail,
Machine Learning Extracted Event,She walks to a car and places the massage table in the trunk.,0:06:51,0:06:58,7,61,Fail,
Machine Learning Extracted Event,She smokes as she makes a call from the driver’s seat.,0:06:54,0:07:01,7,54,Fail,
Machine Learning Extracted Event,"She leans on the steering wheel, and lowers the phone to the passenger seat.",0:07:05,0:07:12,7,76,Fail,
Machine Learning Extracted Event,A man snorts coke.,0:07:16,0:07:21,5,18,Fail,
Machine Learning Extracted Event,He looks SOMEONE over.,0:07:30,0:07:36,6,22,Fail,
Machine Learning Extracted Event,SOMEONE drops his towel.,0:08:02,0:08:07,5,24,Fail,
Machine Learning Extracted Event,He holds a small square.,0:08:43,0:08:49,6,24,Fail,
Machine Learning Extracted Event,SOMEONE sits facing SOMEONE.,0:09:27,0:09:32,5,28,Fail,
Machine Learning Extracted Event,Pushes the side stick forward.,0:09:35,0:09:41,6,30,Fail,
Machine Learning Extracted Event,The cockpit shakes.,0:09:45,0:09:50,5,19,Success,
Machine Learning Extracted Event,SOMEONE takes the yoke and pulls back.,0:09:59,0:10:04,5,38,Success,
Machine Learning Extracted Event,They ascend.,0:10:04,0:10:09,5,12,Success,
Machine Learning Extracted Event,"The plane shakes, and items fall from the overhead bins.",0:10:39,0:10:46,7,56,Success,
Machine Learning Extracted Event,SOMEONE casts an uneasy sideways glance at SOMEONE.,0:10:48,0:10:55,7,51,Success,
Machine Learning Extracted Event,SOMEONE eyes the horizon as he steers the plane through rough air.,0:12:15,0:12:22,7,66,Success,
Machine Learning Extracted Event,He moves the side stick forward.,0:12:21,0:12:27,6,32,Success,
Machine Learning Extracted Event,The altimeter slides quickly to the right as the plane rises.,0:12:29,0:12:36,7,61,Success,
Machine Learning Extracted Event,"They reach a clearing, through clouds and bright sunlight, as SOMEONE levels out.",0:12:41,0:12:49,8,81,Fail,
Machine Learning Extracted Event,"SOMEONE smiles, and looks at the passengers from her jump seat.",0:12:54,0:13:01,7,63,Success,
Machine Learning Extracted Event,SOMEONE takes the phone.,0:13:01,0:13:07,6,24,Fail,
Machine Learning Extracted Event,"A car speeds past a sign that reads Georgian Gardens, and stops.",0:13:05,0:13:13,8,64,Fail,
Machine Learning Extracted Event,"SOMEONE gets out of the car, and runs up to the second floor of a small, run-down apartment complex.",0:13:14,0:13:23,9,100,Fail,
Machine Learning Extracted Event,"She pulls out a key as she reaches the door, only to discover it is slightly open.",0:13:23,0:13:31,8,82,Fail,
Machine Learning Extracted Event,She smiles at him.,0:14:08,0:14:14,6,18,Fail,
Machine Learning Extracted Event,He stands in the doorway.,0:14:16,0:14:21,5,25,Fail,
Machine Learning Extracted Event,She kicks the door closed.,0:14:19,0:14:25,6,26,Fail,
Machine Learning Extracted Event,"She flings her bag on a table and it hits a box, which falls and scatters its contents.",0:14:35,0:14:43,8,87,Fail,
Machine Learning Extracted Event,She spots a syringe.,0:14:39,0:14:44,5,20,Fail,
Machine Learning Extracted Event,SOMEONE speaks into the intercom.,0:14:48,0:14:53,5,33,Fail,
Machine Learning Extracted Event,"He pours the contents of a small vodka bottle into a juice container, hidden from the passenger's view.",0:14:56,0:15:05,9,103,Success,
Machine Learning Extracted Event,He tosses three miniature bottles as he grabs the spiked orange juice.,0:15:28,0:15:35,7,70,Success,
Machine Learning Extracted Event,"He takes a long drink as SOMEONE exits the toilet, and he goes in.",0:15:33,0:15:40,7,66,Fail,
Machine Learning Extracted Event,"In SOMEONE's apartment, framed photographs on the table show a younger, smiling SOMEONE with her mother.",0:15:43,0:15:50,7,104,Fail,
Machine Learning Extracted Event,"SOMEONE lightly taps the syringe,",0:15:47,0:15:53,6,33,Fail,
Machine Learning Extracted Event,then pushes out a small drop that slides down the needle.,0:15:50,0:15:57,7,57,Fail,
Machine Learning Extracted Event,"She tightens a tourniquet around her arm, and holds the end securely in her mouth.",0:15:53,0:15:59,6,82,Fail,
Machine Learning Extracted Event,She positions the needle and injects.,0:15:56,0:16:02,6,37,Fail,
Machine Learning Extracted Event,Her arms relax and she lets go of the syringe.,0:16:07,0:16:13,6,46,Fail,
Machine Learning Extracted Event,"She leans back, eyes closed.",0:16:14,0:16:19,5,28,Fail,
Machine Learning Extracted Event,The strap falls from her mouth.,0:16:16,0:16:21,5,31,Fail,
Machine Learning Extracted Event,Her head lolls to her shoulder.,0:16:24,0:16:30,6,31,Fail,
Machine Learning Extracted Event,Her dilated pupils shrink to tiny dots.,0:16:33,0:16:39,6,39,Fail,
Machine Learning Extracted Event,"She grabs the packet of cocaine that Kip gave her, and falls on her side.",0:16:39,0:16:46,7,73,Fail,
Machine Learning Extracted Event,"The packet falls, inches from her hand.",0:16:45,0:16:51,6,39,Fail,
Machine Learning Extracted Event,"Her fingers reach out, but only push it away.",0:16:47,0:16:52,5,45,Fail,
Machine Learning Extracted Event,"Her hand goes still, as feet appear under the door.",0:16:54,0:16:59,5,51,Fail,
Machine Learning Extracted Event,"In the cockpit, SOMEONE sleeps with paper covering his eyes, and his sunglasses over the paper.",0:17:08,0:17:16,8,95,Success,
Machine Learning Extracted Event,SOMEONE's yoke jerks away.,0:17:36,0:17:41,5,26,Success,
Machine Learning Extracted Event,"The yoke slips out of SOMEONE's hands as SOMEONE struggles to gain control, and the plane begins to dive.",0:17:56,0:18:05,9,105,Success,
Machine Learning Extracted Event,"The wheels of the aircraft unfold. In the galley, SOMEONE grabs the phone.",0:18:52,0:19:00,8,74,Success,
Machine Learning Extracted Event,SOMEONE unbuckles her seatbelt.,0:20:04,0:20:10,6,31,Success,
Machine Learning Extracted Event,"Alarmed passengers grasp the seat in front of them, as a flight attendant tries to assist someone.",0:20:22,0:20:31,9,98,Success,
Machine Learning Extracted Event,"SOMEONE falls, and hits her head.",0:21:02,0:21:08,6,33,Success,
Machine Learning Extracted Event,SOMEONE lies still.,0:21:06,0:21:12,6,19,Success,
Machine Learning Extracted Event,SOMEONE banks to the left.,0:21:51,0:21:57,6,26,Fail,
Machine Learning Extracted Event,The planes turns upside down.,0:22:02,0:22:07,5,29,Fail,
Machine Learning Extracted Event,She slides the side stick forward.,0:22:08,0:22:14,6,34,Fail,
Machine Learning Extracted Event,One wheel gets stuck while retracting.,0:22:12,0:22:18,6,38,Fail,
Machine Learning Extracted Event,"Inside the cabin, SOMEONE comes to a rest on the ceiling, and SOMEONE sees a young boy slip out of his seat.",0:22:15,0:22:23,8,108,Fail,
Machine Learning Extracted Event,"Outside Georgian Gardens, a medical aide wheels SOMEONE beside Fran, as the upside down plane flies past.",0:22:23,0:22:33,10,105,Fail,
Machine Learning Extracted Event,"SOMEONE crawls to the boy, and straps him back in his seat.",0:22:55,0:23:01,6,59,Fail,
Machine Learning Extracted Event,A light flashes on the control panel in the cockpit.,0:23:02,0:23:09,7,52,Fail,
Machine Learning Extracted Event,"The plane turns upright, and a still unconscious SOMEONE falls on some passengers.",0:23:42,0:23:50,8,82,Success,
Machine Learning Extracted Event,"SOMEONE loses her hold, and falls against the bulkhead.",0:23:56,0:24:02,6,55,Success,
Machine Learning Extracted Event,Fire and smoke billow from the left engine.,0:24:07,0:24:13,6,43,Success,
Machine Learning Extracted Event,"SOMEONE tumbles across the galley, as the plane straightens out.",0:24:09,0:24:16,7,64,Success,
Machine Learning Extracted Event,Gauges drop.,0:24:21,0:24:26,5,12,Success,
Machine Learning Extracted Event,"They head towards a church, sitting on an expanse of open land.",0:24:38,0:24:45,7,63,Success,
Machine Learning Extracted Event,"SOMEONE steers the plane away from the church's steeple,",0:24:45,0:24:51,6,56,Success,
Machine Learning Extracted Event,but the wing grazes the top.,0:24:48,0:24:53,5,28,Success,
Machine Learning Extracted Event,"The plane hits the ground. SOMEONE flies past the cockpit, as SOMEONE bangs his head and passes out.",0:25:04,0:25:13,9,100,Success,
Machine Learning Extracted Event,"Through blurred vision, SOMEONE sees SOMEONE leaning to the side in his seat, as he is dragged out.",0:25:11,0:25:18,7,99,Success,
Machine Learning Extracted Event,"SOMEONE is slumped next to SOMEONE's still body, her head crushed by a collapsed bulkhead.",0:25:27,0:25:33,6,90,Success,
Machine Learning Extracted Event,"Smoke blocks SOMEONE's vision, as he is pulled away from the plane.",0:25:37,0:25:44,7,67,Success,
Machine Learning Extracted Event,"As people in white robes help the passengers, a fire engine arrives.",0:25:40,0:25:47,7,68,Success,
Machine Learning Extracted Event,"SOMEONE looks up at a female EMT leaning over him,",0:25:57,0:26:04,7,50,Success,
Machine Learning Extracted Event,then turns towards the black smoke rising from the crash site.,0:26:00,0:26:07,7,62,Success,
Machine Learning Extracted Event,"The broken off spire from the church lies some distance away from an ambulance, as rescue workers help survivors.",0:26:05,0:26:15,10,113,Success,
Machine Learning Extracted Event,"In a hospital ward, SOMEONE slowly opens his right eye.",0:26:16,0:26:22,6,55,Fail,
Machine Learning Extracted Event,The other eye is covered by a bandage.,0:26:18,0:26:24,6,38,Success,
Machine Learning Extracted Event,"He sees a seated man on the TV gesturing, as rescue workers push a stretcher behind him.",0:26:24,0:26:32,8,88,Success,
Machine Learning Extracted Event,"The tagline reads, Breaking news. SOMEONE Hogg, South Jet 227 passenger.",0:26:29,0:26:38,9,72,Success,
Machine Learning Extracted Event,"A field reporter for Channel 12 News comments live from the site, as lights flicker in the background.",0:26:35,0:26:43,8,102,Success,
Machine Learning Extracted Event,"On TV, cell phone footage shows the descent of the plane, as it swerves and slices off the church steeple.",0:26:45,0:26:55,10,106,Success,
Machine Learning Extracted Event,"It glides overhead, both engines on fire, and slams down on its side, as people in white robes run for cover.",0:26:54,0:27:01,7,109,Success,
Machine Learning Extracted Event,"SOMEONE, his head wrapped in gauze,",0:27:08,0:27:14,6,35,Success,
Machine Learning Extracted Event,"watches in a daze, as the church folk stand and take in the scene from a distance,",0:27:10,0:27:18,8,82,Success,
Machine Learning Extracted Event,then slowly approach.,0:27:14,0:27:20,6,21,Success,
Machine Learning Extracted Event,"SOMEONE averts his gaze from the screen, and notices a man in the room.",0:27:21,0:27:28,7,71,Fail,
Machine Learning Extracted Event,"The man wears a suit with a collar open, and is staring intently at his cell phone.",0:27:26,0:27:34,8,83,Success,
Machine Learning Extracted Event,"SOMEONE turns, and SOMEONE smiles.",0:27:34,0:27:40,6,34,Success,
Machine Learning Extracted Event,"A man walks in wearing an NTSB jacket, followed by a few law officers, a nurse, and a doctor.",0:28:37,0:28:47,10,93,Fail,
Machine Learning Extracted Event,The NTSB officer places a recorder on SOMEONE's bed.,0:28:44,0:28:51,7,52,Fail,
Machine Learning Extracted Event,SOMEONE nods weakly.,0:29:17,0:29:22,5,20,Fail,
Machine Learning Extracted Event,The doctor leaves.,0:30:00,0:30:05,5,18,Fail,
Machine Learning Extracted Event,"Craig takes his recorder, and leaves with the others,",0:31:18,0:31:24,6,53,Fail,
Machine Learning Extracted Event,but SOMEONE stays back.,0:31:21,0:31:26,5,23,Fail,
Machine Learning Extracted Event,SOMEONE smiles.,0:33:03,0:33:08,5,15,Fail,
Machine Learning Extracted Event,He reaches for a plastic bag.,0:33:23,0:33:28,5,29,Fail,
Machine Learning Extracted Event,SOMEONE leaves.,0:34:15,0:34:20,5,15,Fail,
Machine Learning Extracted Event,"SOMEONE puts his bandaged hand to his mouth, as tears flow down his face,",0:34:19,0:34:26,7,73,Fail,
Machine Learning Extracted Event,"then shakes his head, and takes his cell phone from the plastic bag.",0:34:23,0:34:30,7,68,Fail,
Machine Learning Extracted Event,He drops the phone on his stomach.,0:34:30,0:34:36,6,34,Fail,
Machine Learning Extracted Event,"A heavy man with a goatee walks into the hospital, wearing Bermuda shorts and dark glasses, with earphone wires hanging on each side of his head.",0:34:36,0:34:48,12,145,Fail,
Machine Learning Extracted Event,"He strides through the corridors, carrying a bag in his hand, and another slung over his shoulder.",0:34:44,0:34:53,9,98,Fail,
Machine Learning Extracted Event,"He removes his earphones, and leans over the reception desk.",0:35:00,0:35:07,7,60,Fail,
Machine Learning Extracted Event,"He enters SOMEONE's room with a video camera, as a nurse helps SOMEONE from the bed, exposing his buttocks.",0:35:08,0:35:17,9,107,Fail,
Machine Learning Extracted Event,The nurse leaves the room.,0:35:37,0:35:42,5,26,Fail,
Machine Learning Extracted Event,"SOMEONE places his hand on SOMEONE's head, and leaves.",0:38:09,0:38:16,7,54,Fail,
Machine Learning Extracted Event,SOMEONE closes his eyes.,0:38:16,0:38:21,5,24,Fail,
Machine Learning Extracted Event,SOMEONE is startled awake.,0:38:23,0:38:28,5,26,Fail,
Machine Learning Extracted Event,"He looks around the dark room, then clicks on the light.",0:38:28,0:38:35,7,56,Fail,
Machine Learning Extracted Event,"He peeks into the corridor, as a nurse walks by the reception desk.",0:38:38,0:38:46,8,67,Fail,
Machine Learning Extracted Event,"He quickly limps down the hall, using a cane.",0:38:47,0:38:53,6,45,Success,
Machine Learning Extracted Event,"He stops at a door marked Stairwell, third floor, and opens it.",0:38:55,0:39:02,7,63,Success,
Machine Learning Extracted Event,"He sees SOMEONE sitting on the stairs, smoking a cigarette.",0:38:59,0:39:06,7,59,Fail,
Machine Learning Extracted Event,"She rises, to leave.",0:39:14,0:39:19,5,20,Success,
Machine Learning Extracted Event,She sits.,0:39:18,0:39:22,4,9,Success,
Machine Learning Extracted Event,"SOMEONE leans against the wall, facing her.",0:39:26,0:39:32,6,43,Success,
Machine Learning Extracted Event,He lights a cigarette.,0:39:29,0:39:33,4,22,Success,
Machine Learning Extracted Event,She shakes her head.,0:39:38,0:39:43,5,20,Success,
Machine Learning Extracted Event,A patient climbs the stairs.,0:39:42,0:39:48,6,28,Success,
Machine Learning Extracted Event,SOMEONE tosses her pack.,0:40:04,0:40:09,5,24,Fail,
Machine Learning Extracted Event,The gaunt man stands by his IV pole.,0:40:13,0:40:19,6,36,Fail,
Machine Learning Extracted Event,She shakes her head.,0:41:39,0:41:44,5,20,Fail,
Machine Learning Extracted Event,She glances at SOMEONE.,0:42:08,0:42:13,5,23,Success,
Machine Learning Extracted Event,The bald man turns to SOMEONE.,0:42:44,0:42:50,6,30,Fail,
Machine Learning Extracted Event,"Cigarette hanging out of his mouth, the man picks up the IV pole and walks downstairs.",0:43:54,0:44:02,8,86,Fail,
Machine Learning Extracted Event,"She wipes a tear from her eye, offers a smile, then stands, and climbs up the stairs.",0:45:03,0:45:09,6,85,Fail,
Machine Learning Extracted Event,"A black Cadillac lurches out of the hospital parking structure, and passes the news crews parked outside.",0:45:42,0:45:52,10,105,Success,
Machine Learning Extracted Event,"SOMEONE opens a beer, and takes a swig.",0:45:53,0:45:59,6,39,Success,
Machine Learning Extracted Event,"He hands SOMEONE a package, a bundle of cash.",0:46:25,0:46:30,5,45,Success,
Machine Learning Extracted Event,"A car turns onto a dirt driveway and passes a sign that reads, Whitaker Crop Dusting Company.",0:46:31,0:46:39,8,93,Fail,
Machine Learning Extracted Event,There's a For Sale sign next to it.,0:46:37,0:46:43,6,35,Success,
Machine Learning Extracted Event,"The car passes a dilapidated shed on the right, and pulls up to a large, older farmhouse.",0:46:42,0:46:50,8,89,Success,
Machine Learning Extracted Event,SOMEONE stops the car.,0:46:47,0:46:52,5,22,Success,
Machine Learning Extracted Event,"SOMEONE places a bag beside the door, and reaches above one of the wooden posts supporting the veranda roof.",0:46:53,0:47:01,8,108,Success,
Machine Learning Extracted Event,He grabs a hidden key.,0:46:58,0:47:03,5,22,Success,
Machine Learning Extracted Event,"He enters a cozy, fully furnished living room, and looks around.",0:47:09,0:47:17,8,64,Success,
Machine Learning Extracted Event,"A retro stereo sits on a cabinet, against a wall with framed photos.",0:47:13,0:47:21,8,68,Success,
Machine Learning Extracted Event,"His eye still covered by a bandage, looks around.",0:47:18,0:47:24,6,49,Success,
Machine Learning Extracted Event,"SOMEONE carries a plastic bag into the kitchen, and places it on a dining table.",0:47:30,0:47:38,8,80,Success,
Machine Learning Extracted Event,"He plugs in a charger, and checks his iPhone.",0:47:38,0:47:45,7,45,Fail,
Machine Learning Extracted Event,It shows 127 voice messages.,0:47:41,0:47:48,7,28,Fail,
Machine Learning Extracted Event,"He leans on a bureau, and pulls out a prescription bottle from his pocket.",0:47:54,0:48:01,7,74,Fail,
Machine Learning Extracted Event,"He glances at the pills, then, at a decanter of whiskey, and other liquor bottles near the stereo.",0:48:04,0:48:09,5,98,Fail,
Machine Learning Extracted Event,"He licks his lips, and clenches his jaw.",0:48:11,0:48:18,7,40,Fail,
Machine Learning Extracted Event,"Using a cane for support, he strides into the bathroom, and dumps the pills down the toilet.",0:48:18,0:48:25,7,92,Fail,
Machine Learning Extracted Event,"He collects the bottles of liquor and the decanter, and turns on the stereo.",0:48:24,0:48:32,8,76,Fail,
Machine Learning Extracted Event,"He empties the bottles in the sink, then dumps the empties in the garbage.",0:48:39,0:48:45,6,74,Fail,
Machine Learning Extracted Event,"He takes a case of Corona and some other beer cans from the fridge, and also drains them.",0:48:43,0:48:51,8,89,Fail,
Machine Learning Extracted Event,He dumps the cans in a bin.,0:48:55,0:49:00,5,27,Fail,
Machine Learning Extracted Event,"He takes a bag of marijuana from a wooden box in a drawer, and flushes it.",0:49:01,0:49:09,8,74,Fail,
Machine Learning Extracted Event,"He continues his chore with determination, as he moves from cabinet to cabinet, removing and tossing bottles and cans.",0:49:13,0:49:19,6,118,Fail,
Machine Learning Extracted Event,"He opens a freezer, and finds a bottle of vodka.",0:49:21,0:49:27,6,48,Fail,
Machine Learning Extracted Event,"He places his packet of money, wrapped in white paper labeled Veal, and removes the bottle. He pours it down the sink.",0:49:24,0:49:32,8,118,Fail,
Machine Learning Extracted Event,"He lifts the balding plastic trash bag out of the trash can, and carries it outside.",0:49:36,0:49:45,9,84,Fail,
Machine Learning Extracted Event,"He slides the doors of the shed open,",0:49:50,0:49:56,6,37,Fail,
Machine Learning Extracted Event,revealing a two seat Cessna plane in the small hangar.,0:49:52,0:49:59,7,54,Fail,
Machine Learning Extracted Event,"SOMEONE removes a blanket covering the windshield, and switches on the lights.",0:49:56,0:50:03,7,78,Fail,
Machine Learning Extracted Event,"He looks at a group of photos hanging above a workstation off to one side of the hanger,",0:50:06,0:50:14,8,88,Fail,
Machine Learning Extracted Event,"then takes a picture of a young African American boy, wedged in a frame.",0:50:11,0:50:18,7,72,Fail,
Machine Learning Extracted Event,He kisses the photograph.,0:50:15,0:50:20,5,25,Fail,
Machine Learning Extracted Event,"He pulls out a bottle of liquor from a bowling bag, and tosses it aside.",0:50:21,0:50:29,8,72,Fail,
Machine Learning Extracted Event,He holds a framed wedding photo of himself and his wife.,0:50:31,0:50:38,7,56,Fail,
