EventID,MovieName,EventDescription,StartTime,EndTime,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType
16,The Social Network(2010),and sees no value in disciplinary action on the Facebook or Zuckerberg.,1:02:39,1:03:12,3759,3792,33,1339,1410,71,Fail,non_event
17,The Social Network(2010),"Saverin and Zuckerberg meet fellow student Christy Lee,",0:45:09,0:45:27,2709,2727,18,1412,1499,55,Fail,process
18,The Social Network(2010),"who asks them to ""Facebook me,"" a phrase that impresses them.",0:45:28,0:45:53,2728,2753,25,1500,1529,61,Success,change_of_state
19,The Social Network(2010),"As the Facebook grows in popularity, Zuckerberg expands the network to Yale University, Columbia University, and Stanford University.",0:53:37,0:54:31,3217,3271,54,1530,1663,133,Fail,process
20,The Social Network(2010),"Lee arranges for Saverin and Zuckerberg to meet Napster co-founder Sean Parker,",1:05:20,1:06:40,3920,4000,80,1664,1743,79,Fail,process
21,The Social Network(2010),who presents a "billion-dollar" vision for the company.,1:09:37,1:10:18,4177,4218,41,1744,1799,55,Fail,process
22,The Social Network(2010),"Zuckerberg is impressed,",1:10:50,1:11:18,4250,4278,28,1800,1824,24,Fail,stative_event
23,The Social Network(2010),but Saverin dismisses him as paranoid and delusional.,1:08:06,1:08:40,4086,4120,34,1825,1878,53,Fail,stative_event
24,The Social Network(2010),Parker also suggests renaming the site to Facebook.,1:11:01,1:11:06,4261,4266,5,1879,1930,51,Success,process
25,The Social Network(2010),"Later, Zuckerberg relocates the company to Palo Alto on Parker's advice;",1:14:51,1:15:08,4491,4508,17,1931,2003,72,Fail,process
26,The Social Network(2010),Saverin remains in New York to work on business development.,1:18:19,1:18:23,4699,4703,4,2004,2064,60,Fail,stative_event
27,The Social Network(2010),"Parker later moves into the house that Zuckerberg is using as a base of operations and becomes more involved with the company, much to Saverin's annoyance.",1:29:01,1:31:36,5341,5496,155,2065,2220,155,Success,process
28,The Social Network(2010),"While competing in the 2004 Henley Royal Regatta for Harvard against the Hollandia Roeiclub, the Winklevoss twins discover that Facebook has expanded to Europe with Oxford, Cambridge and LSE,",1:24:24,1:27:54,5064,5274,210,2222,2413,191,Success,process
29,The Social Network(2010),and decide to sue the company for intellectual property theft.,1:28:18,1:28:57,5298,5337,39,2414,2476,62,Success,process
30,The Social Network(2010),"Meanwhile, Saverin objects to Parker making business decisions for Facebook",1:32:28,1:33:04,5548,5584,36,2477,2552,75,Fail,process
31,The Social Network(2010),and freezes the company's bank account in the resulting dispute.,1:33:17,1:33:35,5597,5615,18,2553,2617,64,Success,process
32,The Social Network(2010),"He relents when Zuckerberg reveals that they have secured $500,000 from angel investor Peter Thiel.",1:37:17,1:37:41,5837,5861,24,2618,2717,99,Fail,change_of_state
33,The Social Network(2010),Saverin becomes enraged when he discovers that the new investment deal allows his share of Facebook to be diluted from 34% to 0.03% while maintaining the ownership percentage of all other parties.,1:42:22,1:43:30,6142,6210,68,2718,2914,196,Success,change_of_state
34,The Social Network(2010),"He confronts Zuckerberg and Parker,",1:43:39,1:44:22,6219,6262,43,2915,2950,35,Fail,process
35,The Social Network(2010),and Saverin vows to sue Zuckerberg before being ejected from the building.,1:44:23,1:44:46,6263,6286,23,2951,3025,74,Fail,process
36,The Social Network(2010),Saverin's name is removed from the masthead as co-founder and CFO.,1:43:50,1:43:56,6230,6236,6,3026,3092,66,Fail,change_of_state
37,The Social Network(2010),"Later, Parker is apprehended for cocaine possession at a party celebrating 1 million users.",1:48:47,1:49:43,6527,6583,56,3093,3184,91,Success,process
38,The Social Network(2010),"He attempts to blame Saverin,",1:50:36,1:50:45,6636,6645,9,3185,3213,29,Fail,process
39,The Social Network(2010),"so Zuckerberg cuts ties with him, telling him to go home.",1:50:46,1:51:00,6646,6660,14,3215,3272,57,Success,process
40,The Social Network(2010),"In separate depositions, the Winklevoss twins claim that Zuckerberg stole their idea,",0:34:21,0:34:29,2061,2069,8,3274,3359,85,Fail,process
41,The Social Network(2010),while Saverin claims his shares of Facebook were unfairly diluted when the company was incorporated.,1:39:22,1:39:39,5962,5979,17,3360,3460,100,Success,process
42,The Social Network(2010),"Marylin Delpy, a junior lawyer for the defense, informs Zuckerberg that they will settle with Saverin since the sordid details of Facebook's founding and Zuckerberg's callous attitude will make him unsympathetic to a jury.",1:52:16,1:53:09,6736,6789,53,3461,3683,222,Fail,process
43,The Social Network(2010),"Alone, Zuckerberg sends a Facebook friend request to Albright and repeatedly refreshes the page.",1:54:04,1:55:33,6844,6933,89,3684,3780,96,Success,process
