EventID,MovieName,EventDescription,StartTime,EndTime,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType,Normalised Video Clip Index,Normalised Plot Sentence Index
50,Flight(2012),"At the hearing, lead NTSB investigator Ellen Block explains that a damaged elevator assembly jackscrew was the primary cause of the crash.",1:59:01,1:59:49,7141,7189,48,2547,2685,138,Fail,process,0.9031889213568796,0.6788379530916844
51,Flight(2012),"She commends Whip on his valor and skill,",1:55:47,1:58:12,6947,7092,145,2686,2727,41,Fail,process,0.8785414813873713,0.7158848614072495
52,Flight(2012),noting that no other pilot was able to land the plane in simulations of the crash.,1:35:55,1:36:13,5755,5773,18,2728,2810,82,Fail,process,0.7270994791004954,0.7270788912579957
53,Flight(2012),"She then reveals that two empty vodka bottles were found in the plane's trash, despite beverages not being served to passengers,",2:01:13,2:01:31,7273,7291,18,2811,2939,128,Fail,process,0.9199593444289161,0.7492004264392323
54,Flight(2012),and that Whip's blood test was excluded for technical reasons.,2:01:35,2:02:19,7295,7339,44,2940,3002,62,Fail,process,0.9227544149409223,0.7835820895522387
55,Flight(2012),She then states the only other member of the crew to test positive for alcohol was Katerina.,2:03:51,2:03:57,7431,7437,6,3003,3095,92,Fail,process,0.9400330326515054,0.8003731343283582
56,Flight(2012),"Whip pauses, unable to bring himself to blame Katerina for his actions.",2:03:16,2:04:15,7396,7455,59,3096,3167,71,Success,change_of_state,0.9355863295642229,0.8251599147121536
57,Flight(2012),He collects himself,2:04:18,2:04:23,7458,7463,5,3168,3187,19,Fail,process,0.9434633464616947,0.8443496801705757
58,Flight(2012),"and comes clean, admitting to being intoxicated the day of the crash.",2:04:25,2:05:25,7465,7525,60,3188,3257,69,Fail,process,0.9443526870791512,0.8496801705756929
59,Flight(2012),"A tearful Whip also admits that he is presently drunk and has a problem, coming to terms with his alcoholism.",2:05:30,2:05:53,7530,7553,23,3258,3367,109,Fail,process,0.9526108499555329,0.8683368869936033
60,Flight(2012),"Thirteen months later, an imprisoned Whip is lecturing a support group of fellow inmates telling them he is glad to be sober and doesn't regret doing the right thing.",2:06:20,2:09:21,7580,7761,181,3369,3535,166,Success,process,0.9589632829373649,0.8979211087420043
61,Flight(2012),"He is also working to rebuild his relationship with his son,",2:10:20,2:11:28,7820,7888,68,3536,3596,60,Success,process,0.9894549612501587,0.9424307036247335
62,Flight(2012),"who visits to interview Whip for a college application essay titled ""The most fascinating person that I've never met"".",2:10:52,2:11:20,7852,7880,28,3597,3715,118,Fail,process,0.9935205183585312,0.9586886993603412
63,Flight(2012),"He begins by asking, ""Who are you?""",2:11:30,2:11:40,7890,7900,10,3716,3751,35,Fail,process,0.9983483674247235,0.990405117270789
64,Flight(2012),"As a plane flies overhead, Whip replies, ""That's a good question.""",2:11:43,2:11:53,7903,7913,10,3752,3818,66,Fail,process,0.9999999999999998,1.0
